Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Dependents,Number of Dependents,Gender,Age,classify age ,Under 30,Senior Citizen,Married,Satisfaction Score,Customer Status,Churn Label,customer_status,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,City,Zip Code,Population
0017-DINOC,No,0,54,None,No,$0.00 ,No,Yes,Cable,10,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,$45.20 ,"$2,460.55 ",$0.00 ,0,$0.00 ,"$2,460.55 ",No,0,Male,47,Middle-Aged Adults,No,No,No,4,Stayed,No,client,0,54,5435,,,Rancho Santa Fe,92091,1072
0017-IUDMW,Yes,2,72,None,Yes,$16.01 ,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,$116.80 ,"$8,456.75 ",$0.00 ,0,"$1,152.72 ","$9,609.47 ",Yes,2,Female,25,Adolescents,Yes,No,Yes,3,Stayed,No,client,0,52,6252,,,Sunnyvale,94086,64010
0018-NYROU,No,0,5,None,Yes,$18.65 ,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$68.95 ,$351.50 ,$0.00 ,0,$93.25 ,$444.75 ,No,0,Female,58,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,57,5536,,,Antelope,95843,36432
0019-EFAEP,No,0,72,Offer A,Yes,$2.25 ,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,$101.30 ,"$7,261.25 ",$0.00 ,0,$162.00 ,"$7,423.25 ",No,0,Female,32,Middle-Aged Adults,No,No,No,3,Stayed,No,client,0,53,5513,,,La Mesa,91942,24005
0019-GFNTW,No,0,56,None,No,$0.00 ,No,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,$45.05 ,"$2,560.10 ",$0.00 ,0,$0.00 ,"$2,560.10 ",No,0,Female,39,Middle-Aged Adults,No,No,No,3,Stayed,No,client,0,37,5795,,,Los Olivos,93441,1317
0020-INWCK,Yes,9,71,Offer A,Yes,$27.26 ,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,$95.75 ,"$6,849.40 ",$0.00 ,0,"$1,935.46 ","$8,784.86 ",Yes,2,Female,58,Middle-Aged Adults,No,No,Yes,5,Stayed,No,client,0,26,4865,,,Woodlake,93286,8870
0020-JDNXP,No,0,34,None,No,$0.00 ,No,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,$61.25 ,"$1,993.20 ",$0.00 ,0,$0.00 ,"$1,993.20 ",Yes,1,Female,52,Middle-Aged Adults,No,No,Yes,4,Stayed,No,client,0,37,3607,,,Point Reyes Station,94956,1885
0021-IKXGC,No,0,1,Offer E,Yes,$7.77 ,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,$72.10 ,$72.10 ,$0.00 ,0,$7.77 ,$79.87 ,No,0,Female,72,senior,No,Yes,No,4,Joined,No,client,0,50,4432,,,San Marcos,92078,6760
0022-TCJCI,No,0,45,None,Yes,$10.67 ,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,$62.70 ,"$2,791.50 ",$0.00 ,0,$480.15 ,"$3,271.65 ",No,0,Male,79,senior,No,Yes,No,1,Churned,Yes,churned,1,92,2654,Dissatisfaction,Limited range of services,Daly City,94015,63337
0023-HGHWL,No,0,1,None,No,$0.00 ,No,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$25.10 ,$25.10 ,$0.00 ,0,$0.00 ,$25.10 ,No,0,Male,67,senior,No,Yes,No,3,Churned,Yes,churned,1,85,5437,Competitor,Competitor made better offer,Morgan Hill,95037,41707
0023-UYUPN,No,0,50,None,Yes,$31.43 ,Yes,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,$25.20 ,"$1,306.30 ",$0.00 ,0,"$1,571.50 ","$2,877.80 ",No,0,Female,79,senior,No,Yes,Yes,3,Stayed,No,client,0,61,4015,,,Ahwahnee,93601,1968
0023-XUOPT,Yes,1,13,None,Yes,$43.56 ,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,$94.10 ,"$1,215.60 ",$0.00 ,0,$566.28 ,"$1,781.88 ",No,0,Female,26,Adolescents,Yes,No,Yes,1,Churned,Yes,churned,1,75,2973,Other,Don't know,Carnelian Bay,96140,1943
0027-KWYKW,Yes,1,23,Offer D,Yes,$34.91 ,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$83.75 ,"$1,849.95 ",$0.00 ,0,$802.93 ,"$2,652.88 ",Yes,2,Female,30,Adolescents,No,No,Yes,4,Stayed,No,client,0,78,3585,,,Alpaugh,93201,1054
0030-FNXPP,No,0,3,None,Yes,$3.12 ,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,$19.85 ,$57.20 ,$0.00 ,0,$9.36 ,$66.56 ,No,0,Female,22,Adolescents,Yes,No,No,4,Joined,No,client,0,59,5634,,,Keeler,93530,71
0031-PVLZI,No,0,4,Offer E,Yes,$12.43 ,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,$20.35 ,$76.35 ,$0.00 ,0,$49.72 ,$126.07 ,No,0,Female,34,Middle-Aged Adults,No,No,Yes,1,Churned,Yes,churned,1,81,4133,Price,Long distance charges,Korbel,95550,155
0032-PGELS,Yes,1,1,None,No,$0.00 ,No,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,$30.50 ,$30.50 ,$0.00 ,0,$0.00 ,$30.50 ,Yes,1,Female,37,Middle-Aged Adults,No,No,Yes,1,Churned,Yes,churned,1,74,5171,Attitude,Attitude of service provider,Palomar Mountain,92060,234
0036-IHMOT,Yes,10,55,None,Yes,$35.04 ,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,$103.70 ,"$5,656.75 ",$0.00 ,20,"$1,927.20 ","$7,603.95 ",Yes,3,Female,37,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,65,5892,,,Parlier,93648,12587
0040-HALCW,Yes,3,54,None,Yes,$19.70 ,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,$20.40 ,"$1,090.60 ",$0.00 ,0,"$1,063.80 ","$2,154.40 ",Yes,3,Male,42,Middle-Aged Adults,No,No,Yes,4,Stayed,No,client,0,60,6393,,,Modesto,95358,30668
0042-JVWOJ,No,0,26,Offer C,Yes,$37.70 ,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,$19.60 ,$471.85 ,$21.25 ,0,$980.20 ,"$1,430.80 ",No,0,Male,64,Middle-Aged Adults,No,No,No,4,Stayed,No,client,0,26,3722,,,Glen Ellen,95442,4101
0042-RLHYP,Yes,5,69,None,Yes,$38.39 ,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,$19.70 ,"$1,396.90 ",$0.00 ,0,"$2,648.91 ","$4,045.81 ",Yes,3,Female,47,Middle-Aged Adults,No,No,Yes,5,Stayed,No,client,0,76,4131,,,Eureka,95503,23570
0048-LUMLS,Yes,1,37,Offer C,Yes,$43.01 ,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,$91.20 ,"$3,247.55 ",$0.00 ,0,"$1,591.37 ","$4,838.92 ",Yes,3,Male,23,Adolescents,Yes,No,Yes,5,Stayed,No,client,0,55,5263,,,Moss Beach,94038,3064
0048-PIHNL,Yes,5,49,Offer B,Yes,$49.58 ,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,$20.45 ,$900.90 ,$0.00 ,0,"$2,429.42 ","$3,330.32 ",No,0,Female,48,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,20,6061,,,Los Angeles,90058,3642
0052-DCKON,Yes,9,66,None,Yes,$43.77 ,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,$115.80 ,"$7,942.15 ",$0.00 ,0,"$2,888.82 ","$10,830.97 ",No,0,Male,28,Adolescents,Yes,No,Yes,3,Stayed,No,client,0,42,5845,,,Los Angeles,90063,55668
0052-YNYOT,No,0,67,None,Yes,$23.12 ,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,$20.55 ,"$1,343.40 ",$30.53 ,0,"$1,549.04 ","$2,861.91 ",No,0,Female,28,Adolescents,Yes,No,No,5,Stayed,No,client,0,72,5462,,,Calexico,92231,27804
0056-EPFBG,Yes,4,20,None,No,$0.00 ,No,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,$39.40 ,$825.40 ,$0.00 ,0,$0.00 ,$825.40 ,Yes,1,Male,33,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,29,3899,,,Redding,96003,41476
0057-QBUQH,No,0,43,None,Yes,$30.64 ,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,$25.10 ,"$1,070.15 ",$0.00 ,0,"$1,317.52 ","$2,387.67 ",Yes,3,Female,31,Middle-Aged Adults,No,No,No,4,Stayed,No,client,0,59,4797,,,San Martin,95046,5671
0058-EVZWM,Yes,2,55,Offer B,Yes,$5.08 ,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$89.80 ,"$4,959.60 ",$0.00 ,0,$279.40 ,"$5,239.00 ",No,0,Female,37,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,42,5875,,,Stockton,95209,30814
0060-FUALY,Yes,4,59,Offer B,Yes,$16.39 ,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$94.75 ,"$5,597.65 ",$0.00 ,0,$967.01 ,"$6,564.66 ",No,0,Female,60,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,26,5238,,,Los Angeles,90003,58198
0064-SUDOG,Yes,3,12,None,Yes,$19.28 ,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,$20.30 ,$224.50 ,$0.00 ,0,$231.36 ,$455.86 ,Yes,3,Female,48,Middle-Aged Adults,No,No,Yes,5,Stayed,No,client,0,57,5190,,,Huntington Park,90255,78114
0064-YIJGF,Yes,7,27,Offer C,Yes,$25.26 ,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$75.75 ,"$1,929.00 ",$0.00 ,0,$682.02 ,"$2,611.02 ",Yes,3,Male,60,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,46,4994,,,Yermo,92398,1195
0067-DKWBL,No,0,2,None,Yes,$43.99 ,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$49.25 ,$91.10 ,$0.00 ,0,$87.98 ,$179.08 ,No,0,Male,69,senior,No,Yes,No,2,Churned,Yes,churned,1,95,3475,Competitor,Competitor made better offer,San Diego,92129,47224
0068-FIGTF,No,0,27,Offer C,Yes,$48.91 ,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,$78.20 ,"$2,078.95 ",$0.00 ,0,"$1,320.57 ","$3,399.52 ",No,0,Female,20,Adolescents,Yes,No,No,3,Stayed,No,client,0,54,2297,,,Fremont,94539,46917
0071-NDAFP,Yes,1,25,None,Yes,$23.69 ,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,$25.50 ,$630.60 ,$44.42 ,0,$592.25 ,"$1,178.43 ",Yes,3,Male,31,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,65,5230,,,Santa Rosa,95405,22250
0074-HDKDG,Yes,5,25,None,Yes,$6.45 ,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,$61.60 ,"$1,611.00 ",$44.90 ,0,$161.25 ,"$1,727.35 ",No,0,Male,46,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,66,3807,,,San Jose,95126,27023
0076-LVEPS,No,0,29,None,No,$0.00 ,No,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,$45.00 ,"$1,242.45 ",$12.26 ,0,$0.00 ,"$1,230.19 ",Yes,1,Male,57,Middle-Aged Adults,No,No,No,4,Stayed,No,client,0,73,3290,,,Tujunga,91042,26753
0078-XZMHT,Yes,5,72,None,Yes,$32.36 ,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,$85.15 ,"$6,316.20 ",$0.00 ,0,"$2,329.92 ","$8,646.12 ",No,0,Male,19,Adolescents,Yes,No,Yes,3,Stayed,No,client,0,76,6322,,,Visalia,93291,36718
0080-EMYVY,No,0,14,None,Yes,$24.04 ,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,$51.45 ,$727.85 ,$0.00 ,0,$336.56 ,"$1,064.41 ",No,0,Female,64,Middle-Aged Adults,No,No,No,3,Stayed,No,client,0,57,4298,,,Lodi,95240,45755
0080-OROZO,No,0,35,Offer C,Yes,$36.42 ,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,$99.25 ,"$3,532.00 ",$0.00 ,0,"$1,274.70 ","$4,806.70 ",No,0,Female,38,Middle-Aged Adults,No,No,No,3,Stayed,No,client,0,36,3244,,,El Portal,95318,579
0082-LDZUE,No,0,1,Offer E,Yes,$42.95 ,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,$44.30 ,$44.30 ,$0.00 ,0,$42.95 ,$87.25 ,No,0,Male,54,Middle-Aged Adults,No,No,No,5,Joined,No,client,0,57,4427,,,Calistoga,94515,7384
0082-OQIQY,No,0,29,None,Yes,$2.05 ,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,$94.20 ,"$2,607.60 ",$0.00 ,20,$59.45 ,"$2,687.05 ",No,0,Male,50,Middle-Aged Adults,No,No,No,5,Stayed,No,client,0,60,4561,,,Farmington,95230,596
0083-PIVIK,No,0,64,None,Yes,$5.49 ,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,$81.25 ,"$5,567.55 ",$0.00 ,40,$351.36 ,"$5,958.91 ",No,0,Male,25,Adolescents,Yes,No,No,3,Stayed,No,client,0,67,4761,,,Tulelake,96134,2595
0089-IIQKO,Yes,1,39,None,Yes,$24.38 ,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,$99.95 ,"$3,767.40 ",$0.00 ,0,$950.82 ,"$4,718.22 ",Yes,3,Female,35,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,43,4447,,,Coleville,96107,1332
0093-EXYQL,No,0,40,None,Yes,$44.14 ,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,$91.55 ,"$3,673.60 ",$0.00 ,0,"$1,765.60 ","$5,439.20 ",No,0,Female,72,senior,No,Yes,No,3,Stayed,No,client,0,59,5742,,,Ojai,93023,21633
0093-XWZFY,No,0,40,None,Yes,$37.69 ,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,$104.50 ,"$4,036.85 ",$0.00 ,0,"$1,507.60 ","$5,544.45 ",No,0,Male,51,Middle-Aged Adults,No,No,No,1,Churned,Yes,churned,1,93,2832,Competitor,Competitor had better devices,Desert Hot Springs,92241,5529
0094-OIFMO,No,0,11,Offer D,Yes,$11.59 ,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,$95.00 ,"$1,120.30 ",$0.00 ,120,$127.49 ,"$1,367.79 ",Yes,1,Female,78,senior,No,Yes,No,1,Churned,Yes,churned,1,85,5980,Dissatisfaction,Product dissatisfaction,North Hollywood,91605,57146
0096-BXERS,Yes,10,6,Offer E,Yes,$42.66 ,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,$50.35 ,$314.55 ,$0.00 ,0,$255.96 ,$570.51 ,No,0,Female,30,Adolescents,No,No,Yes,3,Stayed,No,client,0,74,3442,,,Inverness,94937,1004
0096-FCPUF,No,0,30,None,Yes,$2.64 ,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,$64.50 ,"$1,888.45 ",$0.00 ,0,$79.20 ,"$1,967.65 ",No,0,Male,58,Middle-Aged Adults,No,No,No,3,Stayed,No,client,0,48,5039,,,Santa Rosa,95404,35057
0098-BOWSO,No,0,27,None,Yes,$20.66 ,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,$19.40 ,$529.80 ,$0.00 ,0,$557.82 ,"$1,087.62 ",No,0,Male,26,Adolescents,Yes,No,No,5,Stayed,No,client,0,39,3792,,,San Jose,95131,26389
0100-DUVFC,Yes,3,70,None,Yes,$39.49 ,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,$104.80 ,"$7,308.95 ",$6.11 ,0,"$2,764.30 ","$10,067.14 ",No,0,Male,66,senior,No,Yes,Yes,5,Stayed,No,client,0,57,5291,,,Wilmington,90744,53323
0103-CSITQ,Yes,10,57,Offer B,Yes,$8.01 ,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,$109.40 ,"$6,252.70 ",$0.00 ,0,$456.57 ,"$6,709.27 ",No,0,Female,20,Adolescents,Yes,No,Yes,5,Stayed,No,client,0,65,6026,,,Modesto,95357,13343
0104-PPXDV,Yes,10,58,None,Yes,$18.37 ,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,$50.30 ,"$2,878.55 ",$10.23 ,0,"$1,065.46 ","$3,933.78 ",No,0,Male,61,Middle-Aged Adults,No,No,Yes,5,Stayed,No,client,0,30,5232,,,San Diego,92113,47431
0106-GHRQR,No,0,16,None,Yes,$25.71 ,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,$71.40 ,"$1,212.10 ",$0.00 ,0,$411.36 ,"$1,623.46 ",No,0,Male,24,Adolescents,Yes,No,No,5,Stayed,No,client,0,39,3360,,,Rancho Palos Verdes,90275,41263
0106-UGRDO,Yes,3,69,Offer A,Yes,$38.52 ,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,$116.00 ,"$8,182.85 ",$0.00 ,0,"$2,657.88 ","$10,840.73 ",No,0,Female,55,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,37,4216,,,Kenwood,95452,1653
0107-WESLM,No,0,1,Offer E,Yes,$31.77 ,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,$19.85 ,$19.85 ,$0.00 ,0,$31.77 ,$51.62 ,No,0,Male,32,Middle-Aged Adults,No,No,No,2,Churned,Yes,churned,1,66,3874,Attitude,Attitude of support person,West Point,95255,2198
0107-YHINA,No,0,1,None,Yes,$40.71 ,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,$99.75 ,$99.75 ,$0.00 ,0,$40.71 ,$140.46 ,No,0,Male,59,Middle-Aged Adults,No,No,No,1,Churned,Yes,churned,1,93,4214,Competitor,Competitor had better devices,Los Angeles,90062,29299
0111-KLBQG,Yes,9,32,Offer C,Yes,$31.86 ,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,$93.95 ,"$2,861.45 ",$0.00 ,0,"$1,019.52 ","$3,880.97 ",Yes,1,Male,71,senior,No,Yes,Yes,5,Stayed,No,client,0,62,2844,,,Morongo Valley,92256,3499
0112-QAWRZ,Yes,8,16,Offer D,Yes,$48.71 ,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,$90.80 ,"$1,442.20 ",$0.00 ,0,$779.36 ,"$2,221.56 ",Yes,2,Male,49,Middle-Aged Adults,No,No,Yes,3,Stayed,No,client,0,66,5560,,,Palo Verde,92266,291
0112-QWPNC,Yes,1,49,Offer B,Yes,$39.55 ,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,$84.35 ,"$4,059.35 ",$0.00 ,0,"$1,937.95 ","$5,997.30 ",No,0,Male,61,Middle-Aged Adults,No,No,Yes,2,Churned,Yes,churned,1,73,6452,Competitor,Competitor offered higher download speeds,Valyermo,93563,413
0114-IGABW,Yes,2,71,Offer A,No,$0.00 ,No,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,$58.25 ,"$4,145.90 ",$0.00 ,0,$0.00 ,"$4,145.90 ",No,0,Female,40,Middle-Aged Adults,No,No,Yes,5,Stayed,No,client,0,76,5224,,,Cambria,93428,6526
0114-PEGZZ,No,0,33,None,Yes,$49.69 ,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,$107.55 ,"$3,645.50 ",$0.00 ,0,"$1,639.77 ","$5,285.27 ",No,0,Female,39,Middle-Aged Adults,No,No,No,3,Stayed,No,client,0,33,4800,,,Round Mountain,96084,459
0114-RSRRW,Yes,9,10,Offer D,Yes,$49.60 ,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,$19.95 ,$187.75 ,$0.00 ,0,$496.00 ,$683.75 ,No,0,Female,21,Adolescents,Yes,No,Yes,4,Stayed,No,client,0,54,3831,,,Klamath,95548,1215
